,Lambda,eigs,res_i1000,S
0,(1.0053266547953386+0j),(0.10625036694898839+0j),2.320189475419035e+41,0.054652821162752455
1,(0.9791549214889874+0.15528241496223263j),(-0.17291653983873193+3.1455679637694853j),2.6450319186811987e-80,0.01056662525363429
2,(0.9791549214889874-0.15528241496223263j),(-0.17291653983873193-3.1455679637694853j),6.173079897796801e-79,0.0014975783862477522
3,(0.9573080438500696+0.007288130049890116j),(-0.8720215046609128+0.15226006497684247j),0.0,5.910932613892793e-05
4,(0.9573080438500696-0.007288130049890116j),(-0.8720215046609128-0.15226006497684247j),0.0,4.999621780431337e-06
5,(0.9541723151498263+0.20611106741554092j),(-0.482174201535731+4.254832818579289j),2.0622823984738973e-212,2.627311775038786e-07
6,(0.9541723151498263-0.20611106741554092j),(-0.482174201535731-4.254832818579289j),2.3427946346584682e-212,9.217049894069456e-09
7,(0.9158667889562114+0.3192618670567772j),(-0.6108835727621688+6.708360191016707j),1.0333723619139462e-267,5.235070808462638e-10
8,(0.9158667889562114-0.3192618670567772j),(-0.6108835727621688-6.708360191016707j),1.0333723619139462e-267,8.109839293325794e-12
